"Woonplaatsen";"Woonplaatscode (Code)";"Gemeentenaam";"Gemeente/Code  (Code)"
"Panningen";"WP3443    ";"Peel en Maas                       ";"GM1894    "
"Papekop";"WP1911    ";"Oudewater                          ";"GM0589    "
"Papendrecht";"WP1477    ";"Papendrecht                        ";"GM0590    "
"Papenhoven";"WP2818    ";"Sittard-Geleen                     ";"GM1883    "
"Papenvoort";"WP1176    ";"Aa en Hunze                        ";"GM1680    "
"Parrega";"WP2319    ";"Súdwest-Fryslân                    ";"GM1900    "
"Paterswolde";"WP2910    ";"Tynaarlo                           ";"GM1730    "
"Peest";"WP1645    ";"Noordenveld                        ";"GM1699    "
"Peins";"WP1368    ";"Waadhoeke                          ";"GM1949    "
"Peize";"WP1646    ";"Noordenveld                        ";"GM1699    "
"Peperga";"WP1736    ";"Weststellingwerf                   ";"GM0098    "
"Pernis Rotterdam";"WP3085    ";"Rotterdam                          ";"GM0599    "
"Persingen";"WP2878    ";"Berg en Dal                        ";"GM1945    "
"Pesse";"WP3118    ";"Westerveld                         ";"GM1701    "
"Pesse";"WP1818    ";"Hoogeveen                          ";"GM0118    "
"Petten";"WP2761    ";"Schagen                            ";"GM0441    "
"Philippine";"WP1133    ";"Terneuzen                          ";"GM0715    "
"Piaam";"WP2320    ";"Súdwest-Fryslân                    ";"GM1900    "
"Piershil";"WP2888    ";"Korendijk                          ";"GM0588    "
"Pieterburen";"WP3423    ";"De Marne                           ";"GM1663    "
"Pietersbierum";"WP1374    ";"Waadhoeke                          ";"GM1949    "
"Pieterzijl";"WP2125    ";"Zuidhorn                           ";"GM0056    "
"Pijnacker";"WP1141    ";"Pijnacker-Nootdorp                 ";"GM1926    "
"Pingjum";"WP2321    ";"Súdwest-Fryslân                    ";"GM1900    "
"Plasmolen";"WP2804    ";"Mook en Middelaar                  ";"GM0944    "
"Poederoijen";"WP2635    ";"Zaltbommel                         ";"GM0297    "
"Poeldijk";"WP2661    ";"Westland                           ";"GM1783    "
"De Pol";"WP2698    ";"Steenwijkerland                    ";"GM1708    "
"Polsbroek";"WP1962    ";"Lopik                              ";"GM0331    "
"Poortugaal";"WP2363    ";"Albrandswaard                      ";"GM0613    "
"Poortvliet";"WP2072    ";"Tholen                             ";"GM0716    "
"Poppenwier";"WP2533    ";"Súdwest-Fryslân                    ";"GM1900    "
"Ten Post";"WP1830    ";"Ten Boer                           ";"GM0009    "
"Posterholt";"WP2593    ";"Roerdalen                          ";"GM1669    "
"Prinsenbeek";"WP1705    ";"Breda                              ";"GM0758    "
"Puiflijk";"WP2906    ";"Druten                             ";"GM0225    "
"De Punt";"WP2915    ";"Tynaarlo                           ";"GM1730    "
"Punthorst";"WP1049    ";"Staphorst                          ";"GM0180    "
"Purmer";"WP1749    ";"Edam-Volendam                      ";"GM0385    "
"Purmer";"WP1946    ";"Waterland                          ";"GM0852    "
"Purmerend";"WP3103    ";"Purmerend                          ";"GM0439    "
"Purmerland";"WP1330    ";"Landsmeer                          ";"GM0415    "
"Puth";"WP2102    ";"Schinnen                           ";"GM0962    "
"Putte";"WP1003    ";"Woensdrecht                        ";"GM0873    "
"Putten";"WP3580    ";"Putten                             ";"GM0273    "
"Puttershoek";"WP2384    ";"Binnenmaas                         ";"GM0585    "
"Raalte";"WP1491    ";"Raalte                             ";"GM0177    "
"Raamsdonk";"WP1752    ";"Geertruidenberg                    ";"GM0779    "
"Raamsdonksveer";"WP1750    ";"Geertruidenberg                    ";"GM0779    "
"Raard";"WP3410    ";"Dongeradeel                        ";"GM0058    "
"Radewijk";"WP1559    ";"Hardenberg                         ";"GM0160    "
"Radio Kootwijk";"WP3563    ";"Apeldoorn                          ";"GM0200    "
"Raerd";"WP2534    ";"Súdwest-Fryslân                    ";"GM1900    "
"Randwijk";"WP1870    ";"Overbetuwe                         ";"GM1734    "
"Ransdaal";"WP1854    ";"Voerendaal                         ";"GM0986    "
"Rasquert";"WP2470    ";"Winsum                             ";"GM0053    "
"Ravenstein";"WP3254    ";"Oss                                ";"GM0828    "
"Ravenswaaij";"WP3382    ";"Buren                              ";"GM0214    "
"Ravenswoud";"WP1764    ";"Ooststellingwerf                   ";"GM0085    "
"Readtsjerk";"WP3272    ";"Dantumadiel                        ";"GM1891    "
"Reahûs";"WP2028    ";"Súdwest-Fryslân                    ";"GM1900    "
"Reduzum";"WP2535    ";"Leeuwarden                         ";"GM0080    "
"Reek";"WP1852    ";"Landerd                            ";"GM1685    "
"Reeuwijk";"WP2476    ";"Bodegraven-Reeuwijk                ";"GM1901    "
"Reijmerstok";"WP1227    ";"Gulpen-Wittem                      ";"GM1729    "
"Reitsum";"WP3209    ";"Ferwerderadiel                     ";"GM1722    "
"Rekken";"WP1663    ";"Berkelland                         ";"GM1859    "
"Renesse";"WP2685    ";"Schouwen-Duiveland                 ";"GM1676    "
"Renkum";"WP2991    ";"Renkum                             ";"GM0274    "
"Renswoude";"WP2141    ";"Renswoude                          ";"GM0339    "
"Ressen";"WP3137    ";"Lingewaard                         ";"GM1705    "
"Retranchement";"WP2970    ";"Sluis                              ";"GM1714    "
"Reusel";"WP1877    ";"Reusel-De Mierden                  ";"GM1667    "
"Reutum";"WP1293    ";"Tubbergen                          ";"GM0183    "
"Reuver";"WP1949    ";"Beesel                             ";"GM0889    "
"Rha";"WP1528    ";"Bronckhorst                        ";"GM1876    "
"Rheden";"WP1501    ";"Rheden                             ";"GM0275    "
"Rhee";"WP2393    ";"Assen                              ";"GM0106    "
"Rheeze";"WP1560    ";"Hardenberg                         ";"GM0160    "
"Rheezerveen";"WP1561    ";"Hardenberg                         ";"GM0160    "
"Rhenen";"WP1399    ";"Rhenen                             ";"GM0340    "
"Rhenoy";"WP3528    ";"Geldermalsen                       ";"GM0236    "
"Rhoon";"WP2362    ";"Albrandswaard                      ";"GM0613    "
"Ridderkerk";"WP2562    ";"Ridderkerk                         ";"GM0597    "
"Ried";"WP1370    ";"Waadhoeke                          ";"GM1949    "
"Riel";"WP2881    ";"Goirle                             ";"GM0785    "
"Rien";"WP2029    ";"Súdwest-Fryslân                    ";"GM1900    "
"Riethoven";"WP1459    ";"Bergeijk                           ";"GM1724    "
"Rietmolen";"WP1657    ";"Berkelland                         ";"GM1859    "
"Rijen";"WP2070    ";"Gilze en Rijen                     ";"GM0784    "
"Rijkevoort";"WP1221    ";"Boxmeer                            ";"GM0756    "
"Rijkevoort-De Walsert";"WP2087    ";"Sint Anthonis                      ";"GM1702    "
"Rijnsaterwoude";"WP3040    ";"Kaag en Braassem                   ";"GM1884    "
"Rijnsburg";"WP1708    ";"Katwijk                            ";"GM0537    "
"De Rijp";"WP3553    ";"Alkmaar                            ";"GM0361    "
"Rijpwetering";"WP3546    ";"Kaag en Braassem                   ";"GM1884    "
"Rijs";"WP1682    ";"De Fryske Marren                   ";"GM1940    "
"Rijsbergen";"WP3490    ";"Zundert                            ";"GM0879    "
"Rijsenhout";"WP1601    ";"Haarlemmermeer                     ";"GM0394    "
"Rijssen";"WP1566    ";"Rijssen-Holten                     ";"GM1742    "
"Rijswijk";"WP2459    ";"Rijswijk                           ";"GM0603    "
"Rijswijk (GLD)";"WP3383    ";"Buren                              ";"GM0214    "
"Rijswijk (NB)";"WP3303    ";"Woudrichem                         ";"GM0874    "
"Rilland";"WP3465    ";"Reimerswaal                        ";"GM0703    "
"Rinsumageast";"WP3270    ";"Dantumadiel                        ";"GM1891    "
"De Rips";"WP2094    ";"Gemert-Bakel                       ";"GM1652    "
"Ritthem";"WP1077    ";"Vlissingen                         ";"GM0718    "
"Rockanje";"WP1210    ";"Westvoorne                         ";"GM0614    "
"Roden";"WP1647    ";"Noordenveld                        ";"GM1699    "
"Roderesch";"WP3633    ";"Noordenveld                        ";"GM1699    "
"Roderwolde";"WP1649    ";"Noordenveld                        ";"GM1699    "
"Roelofarendsveen";"WP3042    ";"Kaag en Braassem                   ";"GM1884    "
"Roermond";"WP2281    ";"Roermond                           ";"GM0957    "
"Rogat";"WP1084    ";"Meppel                             ";"GM0119    "
"Roggel";"WP2955    ";"Leudal                             ";"GM1640    "
"Rohel";"WP2502    ";"De Fryske Marren                   ";"GM1940    "
"Rolde";"WP1177    ";"Aa en Hunze                        ";"GM1680    "
"Roodeschool";"WP3479    ";"Eemsmond                           ";"GM1651    "
"Roosendaal";"WP1588    ";"Roosendaal                         ";"GM1674    "
"Roosteren";"WP2046    ";"Echt-Susteren                      ";"GM1711    "
"Rosmalen";"WP1596    ";"'s-Hertogenbosch                   ";"GM0796    "
"Rossum";"WP1414    ";"Dinkelland                         ";"GM1774    "
"Rossum";"WP1630    ";"Maasdriel                          ";"GM0263    "
"Roswinkel";"WP1997    ";"Emmen                              ";"GM0114    "
"Rotstergaast";"WP2503    ";"De Fryske Marren                   ";"GM1940    "
"Rotsterhaule";"WP2504    ";"De Fryske Marren                   ";"GM1940    "
"Rotterdam";"WP3086    ";"Rotterdam                          ";"GM0599    "
"Rotterdam-Albrandswaard";"WP2364    ";"Albrandswaard                      ";"GM0613    "
"Rottevalle";"WP3287    ";"Smallingerland                     ";"GM0090    "
"Rottum";"WP3480    ";"Eemsmond                           ";"GM1651    "
"Rottum";"WP2505    ";"De Fryske Marren                   ";"GM1940    "
"Rouveen";"WP1047    ";"Staphorst                          ";"GM0180    "
"Rozenburg";"WP2437    ";"Rotterdam                          ";"GM0599    "
"Rozenburg";"WP1598    ";"Haarlemmermeer                     ";"GM0394    "
"Rozendaal";"WP2927    ";"Rozendaal                          ";"GM0277    "
"Rucphen";"WP2581    ";"Rucphen                            ";"GM0840    "
"Ruigahuizen";"WP1683    ";"De Fryske Marren                   ";"GM1940    "
"Ruinen";"WP3119    ";"Westerveld                         ";"GM1701    "
"Ruinen";"WP3169    ";"De Wolden                          ";"GM1690    "
"Ruinerwold";"WP3170    ";"De Wolden                          ";"GM1690    "
"Rumpt";"WP3215    ";"Geldermalsen                       ";"GM0236    "
"Rutten";"WP1282    ";"Noordoostpolder                    ";"GM0171    "
"Ruurlo";"WP1658    ";"Berkelland                         ";"GM1859    "
"Ryptsjerk";"WP2445    ";"Tytsjerksteradiel                  ";"GM0737    "
"Saaksum";"WP2126    ";"Zuidhorn                           ";"GM0056    "
"Saasveld";"WP1415    ";"Dinkelland                         ";"GM1774    "
"Saaxumhuizen";"WP2471    ";"Winsum                             ";"GM0053    "
"Sambeek";"WP1222    ";"Boxmeer                            ";"GM0756    "
"Sandfirden";"WP2418    ";"Súdwest-Fryslân                    ";"GM1900    "
"Santpoort-Noord";"WP2837    ";"Velsen                             ";"GM0453    "
"Santpoort-Zuid";"WP2838    ";"Velsen                             ";"GM0453    "
"Sappemeer";"WP1021    ";"Midden-Groningen                   ";"GM1952    "
"Sas van Gent";"WP1134    ";"Terneuzen                          ";"GM0715    "
"Sassenheim";"WP2003    ";"Teylingen                          ";"GM1525    "
"Sauwerd";"WP2472    ";"Winsum                             ";"GM0053    "
"Schagen";"WP2460    ";"Schagen                            ";"GM0441    "
"Schagerbrug";"WP2756    ";"Schagen                            ";"GM0441    "
"Schaijk";"WP1851    ";"Landerd                            ";"GM1685    "
"Schalkhaar";"WP2860    ";"Deventer                           ";"GM0150    "
"Schalkwijk";"WP2056    ";"Houten                             ";"GM0321    "
"Schalsum";"WP1369    ";"Waadhoeke                          ";"GM1949    "
"Schardam";"WP1842    ";"Edam-Volendam                      ";"GM0385    "
"Scharendijke";"WP2686    ";"Schouwen-Duiveland                 ";"GM1676    "
"Scharmer";"WP1355    ";"Midden-Groningen                   ";"GM1952    "
"Scharnegoutum";"WP2419    ";"Súdwest-Fryslân                    ";"GM1900    "
"Scharsterbrug";"WP2506    ";"De Fryske Marren                   ";"GM1940    "
"Scharwoude";"WP1189    ";"Koggenland                         ";"GM1598    "
"Scheemda";"WP1893    ";"Oldambt                            ";"GM1895    "
"Scheerwolde";"WP2711    ";"Steenwijkerland                    ";"GM1708    "
"Schellinkhout";"WP1511    ";"Drechterland                       ";"GM0498    "
"Schelluinen";"WP1437    ";"Giessenlanden                      ";"GM0689    "
"Schermerhorn";"WP1889    ";"Alkmaar                            ";"GM0361    "
"Scherpenisse";"WP2073    ";"Tholen                             ";"GM0716    "
"Scherpenzeel";"WP1737    ";"Weststellingwerf                   ";"GM0098    "
"Scherpenzeel";"WP2135    ";"Scherpenzeel                       ";"GM0279    "
"Schettens";"WP2322    ";"Súdwest-Fryslân                    ";"GM1900    "
"Scheulder";"WP1697    ";"Eijsden-Margraten                  ";"GM1903    "
"Schiedam";"WP1935    ";"Schiedam                           ";"GM0606    "
"Schiermonnikoog";"WP2428    ";"Schiermonnikoog                    ";"GM0088    "
"Schijf";"WP2582    ";"Rucphen                            ";"GM0840    "
"Schijndel";"WP2139    ";"Meierijstad                        ";"GM1948    "
"Schildwolde";"WP1356    ";"Midden-Groningen                   ";"GM1952    "
"Schimmert";"WP2360    ";"Nuth                               ";"GM0951    "
"Schin op Geul";"WP1717    ";"Valkenburg aan de Geul             ";"GM0994    "
"Schinnen";"WP2103    ";"Schinnen                           ";"GM0962    "
"Schinveld";"WP2848    ";"Onderbanken                        ";"GM0881    "
"Schipborg";"WP1178    ";"Aa en Hunze                        ";"GM1680    "
"Schiphol";"WP1618    ";"Haarlemmermeer                     ";"GM0394    "
"Schiphol-Rijk";"WP1604    ";"Haarlemmermeer                     ";"GM0394    "
"De Schiphorst";"WP1085    ";"Meppel                             ";"GM0119    "
"Schipluiden";"WP2805    ";"Midden-Delfland                    ";"GM1842    "
"Schokland";"WP1277    ";"Noordoostpolder                    ";"GM0171    "
"Schoondijke";"WP2971    ";"Sluis                              ";"GM1714    "
"Schoonebeek";"WP1998    ";"Emmen                              ";"GM0114    "
